,제 13 기 반기말,제 12 기말
자산,,
유동자산,"25,219,346,768","26,197,151,276"
현금및현금성자산,"4,679,984,471","566,986,376"
매출채권 및기타 채권,"559,387,804","8,990,490,165"
계약자산,"3,487,328,683","4,417,316,091"
재고자산,"81,882,746,731","9,849,332,904"
기타유동금융자산,"411,500,000","330,300,000"
기타유동자산,"2,848,642,400","2,021,709,860"
당기법인세자산,"97,385,001","21,015,880"
비유동자산,"32,044,052,688","26,821,672,234"
당기손익-공정가치측정금융자산,"973,999,844","916,243,627"
유형 자산,"28,121,765,061","23,351,869,257"
무형 자산,"28,905,553","11,475,560"
투자부동산,"112,035,721","122,169,325"
기타비유동금융자산,"211,914,019","200,383,855"
기타비유동자산,"20,505,206","33,687,821"
이연법인세자산,"2,574,927,284","2,185,842,789"
자산 합계,"57,263,399,456","53,018,823,510"
부채,,
유동부채,"24,465,691,144","37,818,463,700"
매입채무 및 기타유동채무,"38,904,016,531","10,118,480,110"
단기차입금,"16,244,980,120","18,140,678,095"
유동성장기부채,"3,398,019,880","6,693,548,468"
기타 유동부채,"542,123,299","2,346,281,906"
계약부채,,"192,376,835"
유동충당부채,"209,837,811","155,560,809"
유동성 리스부채,"180,328,381","171,527,477"
비유동부채,"905,812,499","6,308,389,282"
장기매입채무 및 기타 채무,"644,680,213","572,905,302"
장기차입금,"6,188,538,974","3,641,352,126"
기타비유동금융부채,"29,000,000","30,000,000"
